Restaurant,Rating,Famous_for,Location,Cost,Distance
The Flour Works,4.4,"European, Italian, Healthy Food, Salad, Sandwich, Pizza, Desserts, Beverages","Baner, Pune","₹1,800 for two",1.5 km
Effingut Bistro,4.4,"Asian, Continental, Finger Food, Beverages, Desserts","Balewadi, Pune","₹1,800 for two",948 m
Ice N Fire Sky Lounge,4.3,"Bar Food, Continental, North Indian, Pizza, Burger, Pasta, Chinese, Desserts","Baner, Pune","₹1,800 for two",948 m
Elaichi Pure Veg,4.1,"North Indian, Biryani, Continental, Chinese, Pizza, Salad, Desserts, Beverages","Baner, Pune","₹1,200 for two",2.1 km
Rangla Punjab,4.2,"North Indian, Kebab, Mughlai, Biryani, Chinese, Desserts","Pimple Nilakh, Pune",₹950 for two,2.6 km
Tatva The Vegetarian Kitchen,4.0,"North Indian, Chinese, South Indian, Biryani, Street Food, Fast Food, Oriental, Beverages","Baner, Pune","₹1,000 for two",1.6 km
Toscano,4.5,"Italian, Pizza, Pasta, Continental, Seafood, Steak, Beverages","Wakad, Pune","₹1,800 for two",4.9 km
L'Apicio,4.4,"European, Mediterranean, Continental, Desserts","Balewadi High Street — Phase 2, Pune","₹1,800 for two",1.4 km
Angrezi Dhaba,4.3,"Modern Indian, Bar Food, Chinese, Pasta, Seafood, Asian, Desserts, Beverages","Prime Rose Mall, Pune","₹1,000 for two",767 m
Pune's Royal,4.5,"North Indian, Chinese, Mughlai, Oriental, Continental, Seafood, Japanese, Desserts","Pimple Nilakh, Pune","₹1,300 for two",3.1 km
Asia Kitchen By Mainland China,4.5,"Asian, Chinese, Sushi, Thai, Japanese, Beverages","Phoenix Mall of the Millennium, Pune","₹1,500 for two",4.9 km
Soy Affair,4.4,"Asian, Thai, Chinese, Seafood","Baner, Pune","₹1,000 for two",878 m
"Blu Grass -Alfresco Dining, Bar & Banquets",New,"North Indian, Chinese, Mughlai, Seafood, Biryani, Desserts, Beverages","Hinjawadi, Pune","₹1,500 for two",4.8 km
Fyole Cafe,4.2,"Pizza, Desserts, Bakery, Sandwich, Salad","Phoenix Mall of the Millennium, Pune",₹600 for two,4.9 km
Sante Spa Cuisine,4.5,"Cafe, Healthy Food, Mediterranean, Continental, Desserts","Baner, Pune","₹1,200 for two",642 m
Azzurro,4.2,"Fast Food, Chinese, North Indian, Biryani, Continental, Asian, Desserts, Beverages","Pimple Nilakh, Pune","₹1,200 for two",2.8 km
Butter - Bar & Kitchen,4.3,"Asian, Italian, Chinese, Sushi, Japanese, Beverages","Balewadi, Pune","₹1,800 for two",1.3 km
You Mee,4.5,"Asian, Japanese, Sushi, Desserts, Beverages","Phoenix Mall of the Millennium, Pune","₹2,000 for two",4.9 km
Aromas Cafe & Bistro,4.5,"Cafe, Coffee, Tea, Shake, Lebanese, Italian, Mexican, Desserts","Baner, Pune","₹1,000 for two",2.3 km
The Barkhana,4.6,"Bar Food, Mughlai, Chinese, North Indian, Fast Food, Desserts, Beverages, Sichuan","Wakad, Pune","₹2,000 for two",4.4 km
Qala Cafe & Co - Works,4.1,"Cafe, Coffee, Italian, Continental, Pizza, Fast Food, Salad, Beverages","Baner, Pune","₹1,000 for two",397 m
Caffe Allora,4.4,"Italian, Seafood, Pasta, Pizza, Sandwich, Salad, Desserts","Wakad, Pune","₹1,000 for two",4.9 km
Pasco - An Epitome Of Wine & Dine,4.4,"North Indian, Italian, Seafood, Chinese, Oriental, Kebab, Biryani, Desserts","Pimple Saudagar, Pune","₹1,700 for two",4.1 km
Copa Villa,4.3,"North Indian, Asian, Continental, Salad, Seafood, Pasta, Pizza, Oriental","Pimple Nilakh, Pune","₹1,400 for two",3.6 km
The 3 Musketeers Pub,4.3,"Chinese, Bar Food, Fast Food, Pizza, Continental, North Indian, Mughlai, Biryani","Baner, Pune","₹1,800 for two",888 m
Mini's Cafe,4.1,"Cafe, Coffee, Tea, Bubble Tea, Street Food, Fast Food, Mexican, Desserts","Baner, Pune",₹700 for two,1.6 km
Aroma's Hyderabad House,4.3,"Biryani, Kebab, North Indian, Mughlai, Seafood, Chinese, Beverages","Balewadi, Pune","₹1,300 for two",1.7 km
The Gazebo World Of Veg,3.8,"North Indian, Continental, Mexican, Thai, Oriental, Italian, Desserts, Beverages","Wakad, Pune",₹800 for two,3.7 km
PizzaExpress,4.2,"Pizza, Italian, Salad, Bakery, Beverages, Coffee, Pasta, Cafe","Phoenix Mall of the Millennium, Pune","₹1,400 for two",4.9 km
Ek Punjab Dhaba,4.5,"North Indian, Street Food, Desserts, Biryani, Seafood","Pimple Saudagar, Pune","₹1,400 for two",4.7 km
Baba's,4.5,"North Indian, Chinese, Kebab, Biryani, Beverages","Baner, Pune","₹1,000 for two",2.6 km
Singh Saab The Paratha House,3.9,"North Indian, Chinese, Street Food, Beverages","Balewadi, Pune",₹500 for two,1.8 km
Lord Petrick Burger & Coffee,4.2,"Burger, Wraps, Fast Food, Desserts, Beverages, Cafe, Coffee","Balewadi, Pune",₹550 for two,1.3 km
Dossai Flavours Of South,4.2,"South Indian, Beverages","Baner, Pune",₹300 for two,1.7 km
Ouza Cocktail Bar & Kitchen,4.3,"Mediterranean, European, Asian, Modern Indian, Desserts","Baner, Pune","₹1,000 for two",2.1 km
Wynkk Kitchen & Bar,4.6,"North Indian, Continental, Pizza, Kebab, Thai, Bar Food, Asian, Fast Food","Aundh, Pune","₹1,500 for two",3.1 km
Wings & Co,4.5,"Chinese, Asian, Continental, Oriental, Korean","Aundh, Pune",₹550 for two,2.7 km
Yolkshire,4.3,"Cafe, Sandwich, Pasta, Salad, Continental, Healthy Food, Desserts, Beverages","Pimple Saudagar, Pune",₹700 for two,4.5 km
Mr And Mrs Idly,3.8,South Indian,"Pimple Saudagar, Pune",₹350 for two,4.3 km
Poult,4.2,"North Indian, Burger, Wraps, Fast Food, Shake, Beverages","Wakad, Pune","₹1,000 for two",4.9 km
24K Kraft Brewzz,4.2,"North Indian, Chinese, Mughlai, Pizza, Italian, Seafood, Beverages, Desserts","Balewadi, Pune","₹2,500 for two",1.2 km
Hotel Saudagar,3.8,"North Indian, Mughlai, Chinese, Seafood, Kebab, Biryani, Desserts, Beverages","Pimple Saudagar, Pune","₹1,000 for two",4 km
Moscow - Your Everyday Bar,3.8,"North Indian, Bar Food, Continental, Italian, Pizza, Chinese, Modern Indian, Desserts","Baner, Pune","₹1,500 for two",766 m
Falahaar,3.8,"Sandwich, Pizza, Street Food, Shake, Beverages, Juices, Desserts","Wakad, Pune",₹450 for two,4.6 km
Rhythm Rooftop Kitchen & Bar,4.3,"North Indian, Continental, Oriental, Chinese, Fast Food, Biryani","Pimple Saudagar, Pune","₹1,400 for two",4.5 km
Uncle's Chinese,4.4,"Chinese, Oriental, Seafood, Beverages","Bavdhan, Pune","₹1,200 for two",5 km
