Restaurant,Rating,Famous_for,Location,Cost,Distance
Saundarya Garden,3.6,"Chinese, Rolls, Oriental, Seafood, North Indian, Mughlai, Desserts, Beverages","Wakad, Pune","₹1,400 for two",4.5 km
It's Street Coffee,3.2,"Coffee, Shake, Desserts, Beverages","Bavdhan, Pune",₹350 for two,5 km
Kiosk Kaffee,3.2,"Cafe, Coffee, Sandwich, Shake, Beverages","Balewadi, Pune",₹300 for two,1.2 km
Namah - Hotel Ambience Excellency,4.0,"North Indian, Chinese, Continental, South Indian, Shake, Beverages","Hotel Ambience Excellency, Wakad, Pune","₹1,400 for two",4.5 km
WOW! Momo,4.0,"Momos, Fast Food, Chinese, Tibetan, Sichuan, Beverages, Desserts","Westend Mall, Aundh, Pune",₹400 for two,2.9 km
Poetry by Love and Cheesecake,4.1,"Bakery, Desserts, Cafe, Continental, Sandwich, Beverages, Finger Food, Coffee","Balewadi High Street, Baner, Pune","₹1,800 for two",1.3 km
Manali-Family Resto Bar,4.1,"Finger Food, Chinese, Continental, Seafood, Thai, Kebab, Desserts, Beverages","Baner, Pune","₹1,900 for two",1.4 km
Huber & Holly,4.1,"Desserts, Ice Cream, Shake, Coffee","Balewadi, Pune",₹800 for two,1.4 km
Iron Bar & Grill,4.5,"Bar Food, Asian, Thai, Pizza, North Indian, BBQ, Kebab","Balewadi High Street, Baner, Pune","₹2,500 for two",1.3 km
Indian Kitchen Culture,3.9,"North Indian, Chinese, Biryani, Street Food","Baner, Pune","₹1,000 for two",342 m
Eaggle Fly,New,"North Indian, Chinese, Continental","Regent Plaza, Baner, Pune","₹1,000 for two",1.7 km
Bahiram Thali,4.1,"Maharashtrian, Seafood, Saoji","Wakad, Pune",₹550 for two,4.9 km
Nisarga Garden Resto Bar,New,"North Indian, Mughlai, Chinese, Desserts, Beverages","Hinjawadi, Pune","₹1,500 for two",4.8 km
Opera House,-,"Pizza, Fast Food, Shake, Coffee, Beverages","Wakad, Pune",₹200 for two,4.8 km
Shivlingam,4.2,"North Indian, Continental, Italian, Chinese, Salad, Fast Food, Ice Cream","Lavale, Pune","₹1,800 for two",4.4 km
Chafa Cafe And Studio,4.3,"Cafe, Coffee, Salad, Italian, Continental, Sandwich, Desserts, Beverages","Bavdhan, Pune","₹1,400 for two",4.2 km
Off The Table,4.3,"Pizza, Sandwich, Fast Food, Desserts, Salad","Baner, Pune",₹350 for two,442 m
Polka Dots,4.4,"Mediterranean, North Indian, Asian, Italian, Biryani, Kebab, Desserts, Beverages","Westend Mall, Aundh, Pune","₹1,800 for two",3 km
Natraj Veg - Non Veg Restaurant,New,North Indian,"Mahalunge, Pune",₹400 for two,1.7 km
Street Coffee,-,"Cafe, Coffee, Desserts, Beverages","Sus, Pune",₹300 for two,1.9 km
Pine & Dine Restro,-,"North Indian, Chinese, Seafood, Biryani, Kebab","Wakad, Pune","₹1,000 for two",4.6 km
GOODRICH AUTO CAFE,-,"Pizza, Sandwich, Burger, Fast Food","Pimple Saudagar, Pune",₹300 for two,4.7 km
Dinero Rooftop,3.8,Modern Indian,"Pimple Nilakh, Pune","₹1,500 for two",3 km
K.K's Cafe,3.5,"Sandwich, Pasta, Burger, Pizza, Street Food, Tea, Coffee, Beverages","Sus, Pune",₹500 for two,1.6 km
Carbon,-,"Continental, Chinese, BBQ","Baner, Pune","₹1,200 for two",1 km
Kizoo Kid’s Desserts,-,"Ice Cream, Desserts","Pimple Nilakh, Pune",₹160 for two,1.8 km
18 Degrees Resto Lounge,3.7,"North Indian, Chinese","Spot 18 Mall, Pimple Saudagar, Pune","₹2,200 for two",3.9 km
Tea Villa Cafe,4.2,"Cafe, Beverages, North Indian, Continental, Asian, Pizza, Fast Food, Desserts","Wakad, Pune",₹950 for two,4.4 km
Hotel Varhadi,3.0,"North Indian, Mughlai","Wakad, Pune",₹500 for two,4.2 km
Buckys,-,"Pizza, Italian, Panini","Bavdhan, Pune",₹900 for two,4.5 km
Soul Kitchen,-,"North Indian, Mughlai, Seafood, Asian, Italian, Kebab, Biryani, Desserts","Pimple Nilakh, Pune","₹1,600 for two",3 km
Puneri Cafe,New,"Fast Food, Momos, Shake","Aundh, Pune",₹300 for two,3.1 km
Golden Wok,-,"North Indian, Chinese, Rolls, Momos, Beverages","Wakad, Pune",₹450 for two,4.5 km
Fluid Lab,-,"North Indian, Asian, Italian, Mughlai, Biryani, Chinese, Seafood, Desserts","Pimple Nilakh, Pune","₹1,250 for two",3 km
Fish Express,-,"Seafood, North Indian, Mughlai, Biryani","Sus, Pune",₹800 for two,1.9 km
Street Plaza,-,"North Indian, Biryani, Chinese, South Indian, Mughlai, Coffee, Desserts, Waffle","Sus, Pune",₹500 for two,1.9 km
Red Chilli Chinese Fast Food,-,Chinese,"Wakad, Pune",₹300 for two,4.8 km
The Deck,-,"North Indian, Mughlai, Kebab, Asian, Seafood, Continental, Italian, Desserts","Pimple Nilakh, Pune","₹1,400 for two",3 km
Feast India Company,4.6,"Chinese, Oriental, North Indian, Seafood, Kebab, Desserts, Beverages","Baner, Pune","₹1,400 for two",1.3 km
Pizza Hut,4.1,"Pizza, Pasta, Fast Food, Beverages","Bavdhan, Pune",₹200 for two,5 km
Zeeshan Restaurant - Apna Hyderabadi Food,4.3,"Mughlai, Seafood, Biryani, Mandi, Chinese, Desserts","Baner, Pune","₹1,200 for two",2.7 km
The Fat Labrador Cafe,4.5,"Cafe, European, Italian","Bavdhan, Pune",₹700 for two,4.3 km
Ginger & Lemon,4.0,"Fast Food, Pizza, Mexican, Italian, Bubble Tea, Waffle, Beverages","Aundh, Pune","₹1,000 for two",3 km
Shivneri Vada Pav - Misal House,New,"Maharashtrian, South Indian, Beverages","Baner, Pune",₹200 for two,287 m
Brewing Bistro,4.5,"Cafe, Continental, Sandwich, Pizza, Pasta, Fast Food, Desserts, Beverages","Laxman Park, Baner, Pune",₹700 for two,2.7 km
MoMo Cafe by Courtyard By Marriott,4.0,"North Indian, Continental, Thai, Fast Food, Desserts","Courtyard By Marriott, Hinjewadi, Pune","₹3,500 for two",4.9 km
Dockway Kitchen & Bar,4.2,"North Indian, Mughlai, Seafood, Continental, Chinese, Desserts","Balewadi, Pune","₹1,600 for two",1.6 km
Fish Curry Rice,4.2,"Seafood, Maharashtrian, North Indian","Pashan, Pune","₹1,400 for two",1.7 km
Sarjaa,4.0,"Malwani, North Eastern, Kebab, Asian, Thai, Seafood, Desserts, Beverages","Aundh, Pune","₹1,900 for two",3.3 km
Tokyo Bakery,4.6,"French, Bakery, Desserts","Baner, Pune",₹250 for two,1.4 km
NIKS Mandarin Kitchen,-,"Chinese, Thai, Seafood, Korean","Bavdhan, Pune",₹350 for two,4.5 km
Manchow Mania,3.7,"North Indian, Chinese, Kebab, Momos, Street Food","Wakad, Pune",₹450 for two,4.2 km
Flow,New,"European, Modern Indian, Mediterranean, Bar Food, , Continental, Italian, Desserts","Baner, Pune","₹2,000 for two",1.4 km
51 Rainbow Ice Creams,3.7,"Ice Cream, Desserts, Juices, Shake","Baner, Pune",₹400 for two,241 m
Aeka’s Coffee,3.9,"Cafe, Coffee, Fast Food","Aundh, Pune",₹500 for two,2.8 km
Cafe From The Tree,4.4,"Cafe, Beverages, Desserts, Italian, Fast Food, Pasta, Pizza","Baner, Pune",₹850 for two,700 m
Cream Stone Ice Cream,4.2,"Ice Cream, Desserts, Beverages, Shake","Baner, Pune",₹400 for two,1.6 km
Maratha Samrat,4.3,"Maharashtrian, Seafood, Biryani","Baner, Pune","₹1,300 for two",1.3 km
Upsouth,4.3,"South Indian, Sandwich, Fast Food, Beverages","Baner, Pune",₹300 for two,868 m
LIIT - Live IIT Today,4.0,"Bar Food, North Indian, Continental, Chinese, Pizza, Salad, Desserts","Balewadi, Pune","₹2,300 for two",1.4 km
Radha Krishna Pure Veg,3.3,"North Indian, Chinese, Biryani, Fast Food, Desserts","Hinjawadi, Pune",₹600 for two,4.4 km
Hyderabadi Laziz,3.9,"Biryani, North Indian, Hyderabadi","Baner, Pune",₹300 for two,784 m
Dumpling Project,4.6,"Asian, Chinese, Momos","Aundh, Pune",₹600 for two,3.1 km
Desi Aroma,4.1,"North Indian, Seafood, Biryani, Mughlai, Desserts, Beverages","Baner, Pune","₹1,300 for two",1.6 km
TTF - The Tenth Floor,4.1,"Finger Food, Chinese, Pizza, Italian, North Indian, Oriental, Bar Food, Beverages","Baner, Pune","₹1,800 for two",2.1 km
The Fish Thali,4.2,"Seafood, Maharashtrian","Baner, Pune","₹1,000 for two",613 m
Bambir House,2.6,"Biryani, Mughlai, Malwani","Wakad, Pune","₹1,200 for two",4.6 km
The Orange Art & Book Cafe,3.9,"Coffee, Desserts, Cafe","Aundh, Pune",₹600 for two,2.7 km
Shahi Bhoj Thali Restaurant,3.9,"Maharashtrian, Rajasthani, Gujarati","Pimple Saudagar, Pune",₹900 for two,4.4 km
Vilaytea - The Premium Tea Room,New,"Tea, Coffee","Hinjawadi, Pune",₹400 for two,4.9 km
Rihla Bake House,4.2,"Bakery, Desserts, Beverages","Baner, Pune",₹400 for two,440 m
Singh Saab Da Dhaba,4.1,"North Indian, Chinese, Mughlai, Desserts, Kebab, Fast Food","Pashan, Pune","₹1,200 for two",1.8 km
La Bali,4.4,"North Indian, Mughlai, Continental, Seafood, Chinese, Kebab, Biryani, Desserts","Aditya Shagun Mall, Bavdhan, Pune","₹1,700 for two",4.5 km
Sheetal Dhaba,3.9,"North Indian, Mughlai, Biryani, Kebab, Seafood, Beverages","Balewadi, Pune","₹1,800 for two",2.4 km
Madrasi Raja,4.0,"South Indian, Street Food, Beverages","Baner, Pune",₹200 for two,511 m
Naadbramha Idli,-,"South Indian, Beverages","Baner, Pune",₹200 for two,297 m
Ya Basa Kitchen & Bar,4.4,"Seafood, Mangalorean, Goan, Malwani, Kerala, North Indian","Baner, Pune","₹1,200 for two",2 km
Delhi Kitchen,4.7,"North Indian, Kebab, Chinese, Biryani, Beverages","Pimple Saudagar, Pune","₹1,000 for two",4.7 km
Idlicious,4.2,South Indian,"Baner, Pune",₹250 for two,496 m
Angaar,4.2,"North Indian, Mughlai, Chinese, Seafood, Biryani, Beverages","Baner, Pune","₹1,400 for two",1.7 km
Yokoso - The Bake House,4.0,"Bakery, Desserts, Japanese, Beverages","Wakad, Pune",₹500 for two,4 km
Just Grill,-,"North Indian, Mughlai, Arabian, Biryani, Fast Food, Beverages","Pimple Nilakh, Pune",₹600 for two,2.8 km
Apache High Street,4.3,"Finger Food, Continental, Salad","Balewadi High Street, Baner, Pune","₹1,300 for two",1.2 km
Lucknow Meri Jaan,4.3,"Lucknowi, Biryani, North Indian, Kebab, Rolls, Awadhi","Pimple Nilakh, Pune",₹600 for two,3.1 km
Rio Kitchen & Bar,4.0,"Chinese, Continental, Pasta, North Indian, Salad, BBQ, Fast Food, Beverages","Hinjawadi, Pune","₹1,400 for two",4.9 km
Tossin Pizza,4.6,"Pizza, Italian, Pasta, Shake, Beverages","Baner, Pune","₹1,200 for two",1.4 km
The Chimbori Seafood Kitchen,3.2,"Seafood, North Indian, Biryani, Mughlai, Chinese, Asian","Balewadi, Pune","₹2,000 for two",1.7 km
The Prana Cafe,3.7,"Cafe, Coffee, Sandwich, Fast Food, Salad, Street Food, Beverages","Pimple Nilakh, Pune","₹1,100 for two",3.1 km
Empire Garden Restaurant & Bar,4.1,"North Indian, Chinese, Biryani, Seafood, Italian, Oriental, Desserts, Beverages","Wakad, Pune","₹1,500 for two",4.2 km
Dorje & The Bell,4.6,"Tibetan, Japanese, Korean, Chinese, Healthy Food","Pimple Nilakh, Pune",₹500 for two,2.9 km
Barbeque Nation,4.3,"North Indian, Chinese, Salad, Desserts","Aundh, Pune","₹2,050 for two",2.9 km
Kinki Delivery - The Sushi And Asian Kitchen,3.9,"Asian, Sushi, Desserts","Balewadi High Street, Baner, Pune","₹1,200 for two",1.2 km
Dwarka Pure Veg Restaurant,3.3,"North Indian, Chinese","Pimple Nilakh, Pune",₹300 for two,2.3 km
Theobroma,3.1,"Bakery, Desserts","Aundh, Pune",₹500 for two,3.3 km
Artizen Cafe Art Studio,3.3,"Cafe, Coffee, Fast Food, Pizza","Baner, Pune",₹600 for two,1.7 km
Olivia's Cafe And Bistro,3.9,"Cafe, Pizza, Pasta, Sandwich, Burger, Bakery, Coffee, Beverages","Pashan, Pune",₹300 for two,1.7 km
Bhairavee Pure Veg Restaurant,4.1,"North Indian, Chinese, Biryani","Baner, Pune","₹1,600 for two",2.7 km
Haldiram's Restaurant,3.9,"Mithai, South Indian, North Indian, Healthy Food, Fast Food, Sandwich, Beverages","Pimple Saudagar, Pune",₹500 for two,3.8 km
Nourishing Farms,3.9,"Sandwich, Salad, Healthy Food, Wraps, Juices","Pimple Saudagar, Pune",₹400 for two,4.4 km
Cafe Deja Vu,4.0,"Fast Food, Italian, Pizza, Sandwich, Burger, Beverages","Bavdhan, Pune",₹600 for two,4.7 km
Rahul Restaurant & Bar,4.1,"Seafood, Malwani, North Indian, Chinese, Mughlai, Desserts","Aundh, Pune",₹950 for two,3 km
Bombay Creamery Cafe,3.8,"Fast Food, Pizza, Burger, Beverages","Baner, Pune",₹750 for two,1.5 km
Shawarma Republic,4.1,"Lebanese, Healthy Food, Rolls","Wakad, Pune",₹300 for two,4.1 km
Yana Sizzlers And Wok,3.1,"Chinese, Asian, Jamaican, BBQ, Seafood, Salad, Desserts, Beverages","Baner, Pune","₹1,800 for two",1.2 km
Biryani By Kilo,4.3,"Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts","Wakad, Pune",₹600 for two,4.2 km
Nandu's Paratha,3.2,"North Indian, Desserts, Fast Food, Biryani, Beverages","Balewadi, Pune",₹500 for two,2.3 km
WOW! China,3.9,"Chinese, Oriental, Asian, Sichuan, Seafood, Momos","Westend Mall, Aundh, Pune",₹600 for two,2.9 km
Coconut Chutneey - The South Canteen,New,South Indian,"Balewadi, Pune",₹200 for two,1.7 km
Farmaaish,3.9,"North Indian, Mughlai, Biryani","Baner, Pune","₹1,600 for two",1.7 km
7th Heaven,4.3,"Bakery, Waffle, Desserts","Baner, Pune",₹400 for two,225 m
subculture,3.2,"Sandwich, Burger, Fast Food, Ice Cream, Desserts, Beverages, Tibetan","Aundh, Pune",₹400 for two,2.9 km
Reeth,4.1,"Biryani, Goan, South Indian","Aundh, Pune","₹1,200 for two",1.4 km
The Boba Way,3.6,"Shake, Bubble Tea, Coffee, Beverages, Momos, Desserts","Aundh, Pune",₹250 for two,2.8 km
Mumbasa Cafe,New,"Indian, Korean, Japanese","Balewadi, Pune",₹600 for two,2.3 km
Sanskar Veg Nonveg Family Restraurant,3.5,"North Indian, Mughlai, Biryani, Chinese","Wakad, Pune",₹450 for two,4.5 km
Third Wave Coffee,3.6,"Cafe, Coffee, Tea, Beverages, Sandwich, Fast Food, Desserts, Pizza","Wakad, Pune",₹500 for two,4.9 km
Caffee Delicioso,3.7,"Coffee, Shake, Beverages","Baner, Pune",₹300 for two,216 m
Khatta Meetha Khawab,3.9,Street Food,"Baner, Pune",₹200 for two,274 m
Copper Chocs,4.0,"Bakery, Fast Food, Sandwich, Desserts","Aundh, Pune",₹450 for two,3.1 km
Terttulia Bistro,4.2,"Continental, Italian, European, American, Desserts, Beverages, Asian","Balewadi High Street, Baner, Pune","₹2,400 for two",1.2 km
Sainath Khanaval,3.9,"Maharashtrian, North Indian","Baner, Pune",₹550 for two,1.2 km
Brewtopia,3.9,"Pizza, Burger, Sandwich, Momos, Fast Food, Chinese, Desserts, Beverages","Aundh, Pune",₹400 for two,3.6 km
Little Konkan,4.3,"Konkan, Malwani","Aundh, Pune",₹950 for two,990 m
Cheesiano Pizza,3.9,"Pizza, Pasta, Fast Food","Wakad, Pune",₹500 for two,4.4 km
The Sizzling Barn,3.9,"Continental, Burger, Salad, Beverages","Hinjawadi, Pune",₹300 for two,4.8 km
Nik's Desidera,-,"Maharashtrian, Mughlai, North Indian, Kebab, Seafood","Bavdhan, Pune","₹1,000 for two",4.4 km
Signature Veg - Non veg,3.7,"North Indian, Kebab, Mughlai, Chinese, Malwani, Biryani, Desserts, Beverages","Baner, Pune","₹1,200 for two",636 m
Rajwada,3.0,"North Indian, Chinese, Mughlai, Desserts, Beverages","Baner, Pune",₹950 for two,2.9 km
Momo Bae,4.7,"Momos, Tibetan, Nepalese, Chinese, Beverages","Balewadi, Pune",₹300 for two,1.6 km
Tikka & Curry,4.2,"North Indian, Mughlai, Chinese, Italian, Thai, Seafood, Kebab, Biryani","Baner, Pune","₹1,500 for two",1.4 km
Lost Recipes,4.4,"North Indian, Fast Food, Street Food","Wakad, Pune",₹400 for two,3.7 km
Wada By Hotel Gavran Tadka,3.5,"Maharashtrian, North Indian, Mughlai, Chinese, Seafood, Biryani, Beverages","Pashan, Pune",₹850 for two,1.8 km
Anna,4.3,"South Indian, Beverages","Baner, Pune",₹350 for two,2.7 km
Shiv Sagar,3.0,"South Indian, Street Food","Pimple Saudagar, Pune",₹300 for two,4.5 km
Brew Merchant,3.5,"Coffee, Beverages, Chinese, Asian, Salad, Pizza, Italian, Desserts","Baner, Pune",₹600 for two,881 m
Hotel Khandesh,3.9,"North Indian, South Indian, Chinese, Kebab, Maharashtrian, Biryani, Street Food","Pashan, Pune",₹400 for two,2.2 km
Hotel Chul Mutton,2.9,"Maharashtrian, Mughlai, North Indian, Biryani","Baner, Pune",₹950 for two,909 m
Radha Krishna Veg Cuisine,3.1,"North Indian, Chinese, Continental, Maharashtrian, Biryani, South Indian, Desserts, Beverages","Pimple Saudagar, Pune",₹900 for two,4.1 km
Hotel Neelayam,4.2,"North Indian, Mughlai, Chinese, Sichuan, Biryani, Kebab, Seafood, Desserts","Baner, Pune","₹1,000 for two",1.1 km
Neopolitan Pizza,3.9,"Pizza, Italian, Fast Food","Pimple Nilakh, Pune",₹500 for two,3.6 km
Wadeshwar,3.6,"South Indian, Sandwich, Fast Food, Maharashtrian, Street Food, Shake, Juices, Beverages","Baner, Pune",₹500 for two,1.7 km
Spice Court,4.4,"North Indian, Chinese, Continental, Italian, Bar Food, Oriental, Desserts, Beverages","Baner, Pune","₹1,400 for two",1 km
Radhika Veg Restaurant,3.1,"North Indian, Chinese, Fast Food","Aundh, Pune",₹950 for two,3.3 km
Neonn Eatery And Pub,4.2,"North Indian, Continental, Chinese, Thai, Mughlai, Pasta, Fast Food, Desserts","Baner, Pune","₹1,600 for two",2.1 km
Marrakesh,3.6,"Lebanese, Mughlai, North Indian, Shawarma, Biryani, Rolls, Beverages","Aundh, Pune",₹900 for two,2.8 km
Byanjan,-,"Bengali, Assamese, North Indian, Rolls","Hinjawadi, Pune",₹350 for two,4.8 km
Abhiman Pure Veg,4.3,"Maharashtrian, North Indian, Sandwich, Pizza, Chinese, Kebab, Biryani, Shake","Pimple Saudagar, Pune","₹1,100 for two",4.5 km
Mathurawala,3.5,"Mithai, North Indian, Street Food","Baner, Pune",₹300 for two,557 m
Kimling Rush,3.9,"Chinese, Asian, Fast Food, Thai, Seafood, Sichuan, Desserts, Beverages","Pimple Saudagar, Pune",₹950 for two,4.4 km
The Delicious Cafe,-,"Pizza, Sandwich, Burger, Fast Food","Pimple Nilakh, Pune",₹250 for two,2.8 km
Dimsum Box,-,Chinese,"Pimple Saudagar, Pune",₹300 for two,4.2 km
Big Bean Cafe,-,"Coffee, Tea, Beverages","Wakad, Pune",₹250 for two,4.6 km
Venketesh Paratha,-,"North Indian, Street Food, Rolls","Pimple Nilakh, Pune",₹300 for two,3.2 km
Kawre Icecream,-,"Desserts, Ice Cream, Shake","Aundh, Pune",₹250 for two,4.5 km
Indian Darbaar Pure Veg,3.9,"North Indian, Chinese, Rajasthani, Gujarati, South Indian, Pizza, Fast Food, Biryani","Baner, Pune",₹450 for two,503 m
Akshay Pure Veg Family Restaurant,4.0,"South Indian, North Indian, Chinese, Fast Food, Sandwich, Pizza, Beverages","Baner, Pune",₹950 for two,1.1 km
Tatva The Vegetarian Kitchen,-,"North Indian, Chinese, Oriental, Asian, Biryani, Shake, Beverages","Pimple Saudagar, Pune","₹1,000 for two",4.8 km
Aha! Baangali,3.6,"Bengali, Seafood, Biryani, Mughlai, Desserts, Beverages","Wakad, Pune",₹850 for two,4.2 km
Two Good,3.7,"Pizza, Pasta, Sandwich, Burger, Salad, Continental, Desserts, Beverages","Aundh, Pune","₹1,000 for two",2.7 km
Orange Cafe,3.9,"Burger, Sandwich, Rolls, Fast Food, Sichuan","Pimple Saudagar, Pune",₹200 for two,4.5 km
Surve's Pure Non-Veg,3.0,"Maharashtrian, Biryani","Baner, Pune","₹1,300 for two",1.4 km
Super Star Dum Biryani,New,Biryani,"Pimple Nilakh, Pune",₹200 for two,1.7 km
Fish On Dish,3.9,"Seafood, Biryani, Beverages","Wakad, Pune",₹600 for two,4.1 km
Shivar Garden,2.8,"Chinese, Street Food, Fast Food, Healthy Food, Continental, Oriental, North Indian, Mughlai","Pimple Saudagar, Pune","₹1,200 for two",4 km
Pagdandi Books Chai Cafe,4.7,"Cafe, Fast Food, Beverages","Regent Plaza, Baner, Pune",₹500 for two,1.7 km
Delight Cafe,3.8,"Rolls, Burger, Sandwich, Fast Food, Beverages, Sichuan","Pimple Saudagar, Pune",₹300 for two,4.4 km
Chaap - E - Mo,3.9,"North Indian, Momos, Rolls","Wakad, Pune",₹300 for two,4.1 km
Rollsz,3.4,"Rolls, Sandwich, Burger, Fast Food, Chinese, North Indian, Beverages","Pimple Saudagar, Pune",₹300 for two,4.4 km
Swad Gomantak,4.2,"Chinese, North Indian, Mughlai, Seafood, Konkan, Biryani, Beverages","Wakad, Pune","₹1,200 for two",4.4 km
The Big Fish,3.2,"Seafood, North Indian, Biryani","Wakad, Pune","₹1,400 for two",4.3 km
Cafe Cheesy Dough,3.9,"Pizza, Pasta, Sandwich, Fast Food, Street Food, Korean, Shake, Beverages","Aundh, Pune",₹400 for two,2.4 km
Carretera,3.8,"North Indian, Chinese, Kebab, Seafood, Mexican, Fast Food, Desserts, Sichuan","Baner, Pune","₹1,000 for two",1.1 km
RollEatUp Cafe,4.1,Rolls,"Wakad, Pune",₹250 for two,4.2 km
Ramyun House,-,Korean,"Aundh, Pune",₹800 for two,2.4 km
Boulevard - The Orchid Hotel,4.0,"North Indian, Chinese, Continental, Italian, Salad","The Orchid Hotel, Balewadi, Pune","₹2,500 for two",2.1 km
Rolling In Dough,3.9,"Bakery, Desserts, Beverages, Cafe, Sandwich","Pashan, Pune",₹400 for two,1.6 km
Log House Restaurant,4.2,"North Indian, Mughlai, Biryani, Chinese, Fast Food, Desserts, Beverages","Baner, Pune","₹1,000 for two",1.7 km
Chilimili,4.6,"Bengali, Rolls, Modern Indian","Pimple Saudagar, Pune","₹1,000 for two",4.6 km
Mother's Kitchen,3.6,"North Indian, Chinese, Biryani, Seafood, Sichuan, Beverages","Baner, Pune",₹650 for two,1.1 km
Fine Einstein Pizzeria,4.0,"Pizza, Fast Food","Aundh, Pune",₹500 for two,3.6 km
Cafe Bay Leaf - Ramada Plaza,3.9,"North Indian, Pizza, Continental, Asian, Desserts, Coffee, Beverages","Balewadi, Pune","₹2,500 for two",3.1 km
Healthy Bee,4.1,"Healthy Food, Salad, Sandwich, Wraps, Juices, Beverages","Baner, Pune",₹500 for two,295 m
Jak Grillz,4.3,"BBQ, American, Arabian, Salad, Burger, Wraps, Grilled Chicken, Kebab","Spot 18 Mall, Pimple Saudagar, Pune",₹650 for two,3.8 km
Raudra Bhairavi,4.5,"Maharashtrian, Seafood, Biryani","Wakad, Pune",₹700 for two,3.6 km
Hotel Shivanjali,4.2,"North Indian, Chinese, Mexican, Seafood, Continental, Fast Food, Desserts, Beverages","Pashan, Pune","₹1,700 for two",2.2 km
Global Chaska,4.0,"North Indian, Chinese, Bihari, Mughlai, Fast Food, Desserts","Balewadi, Pune",₹500 for two,1.4 km
Khandeshi Darbar,3.2,"North Indian, Maharashtrian, Mughlai","Baner, Pune",₹550 for two,573 m
Wah Bihari,4.2,"Bihari, North Indian","Wakad, Pune",₹350 for two,4.9 km
McDonald's,3.6,"Burger, Fast Food, Desserts, Wraps","Balewadi High Street, Baner, Pune",₹400 for two,1.3 km
Ichiraku's,3.2,"Vietnamese, Fast Food, Beverages","Bavdhan, Pune",₹650 for two,4.7 km
Ashapuri Dining Hall,3.9,"Rajasthani, North Indian, Chinese, Beverages","Aundh, Pune",₹400 for two,3.2 km
We Idliwale Mini,3.3,South Indian,"Baner, Pune",₹300 for two,1.1 km
Relax Pure Veg,3.9,"Maharashtrian, North Indian, Kebab, Pizza, Fast Food, Street Food, Chinese, Beverages","Bavdhan, Pune",₹400 for two,4.9 km
Saffron The Exotic Retreat,3.9,"North Indian, Mughlai, Kebab, Biryani, Chinese, Desserts","Wakad, Pune","₹1,000 for two",4.9 km
The Chinese Hub,3.6,"Chinese, Sichuan, Oriental, Seafood","Mahalunge, Pune",₹500 for two,1.4 km
Omaha Veg,4.3,"North Indian, South Indian, Fast Food, Street Food, Desserts, Beverages, Shake","Pimple Nilakh, Pune",₹350 for two,3.2 km
RushHrs,3.8,"Burger, American, Wraps, Fast Food","Baner, Pune",₹400 for two,546 m
Spice Roots,4.1,"North Indian, Mughlai, Italian, Biryani, Chinese, Seafood, Desserts, Beverages","Bavdhan, Pune",₹950 for two,4.3 km
The Waffle Co.,3.9,"Waffle, Pancake, Desserts, Beverages","Wakad, Pune",₹250 for two,4.8 km
GK Pooriwala,4.2,"North Indian, Maharashtrian, Fast Food, Pizza, Beverages","Baner, Pune",₹300 for two,723 m
Bestow Bar & Kitchen,4.2,"North Indian, Chinese, Asian, Continental, Fast Food, Burmese, Bar Food, Desserts","Aundh, Pune",₹800 for two,2 km
GaramTawa Bistro & Herbal Cafe,4.1,"Cafe, Fast Food, Beverages, Continental, Desserts, Coffee, Pizza","Balewadi, Pune",₹550 for two,2.2 km
Wadeshwar Bhuvan,3.6,"South Indian, Fast Food, Beverages","Westend Mall, Aundh, Pune",₹350 for two,2.9 km
Spring Onion,4.3,"Chinese, Asian, Japanese, Seafood","Baner, Pune","₹1,000 for two",480 m
Bell Pepper,-,"Asian, Chinese, Seafood, Desserts, Oriental","Wakad, Pune",₹650 for two,3.8 km
Costa Coffee,3.3,"Cafe, Coffee, Beverages, Bakery, Desserts","Phoenix Mall of the Millennium, Pune",₹400 for two,4.9 km
Bombay Chaap Corner,3.9,"North Indian, Rolls, Momos","Wakad, Pune",₹400 for two,4.2 km
Anna's Coffee House,3.8,"South Indian, Pizza, Street Food, Sandwich, Fast Food, Shake, Beverages","Baner, Pune",₹200 for two,1.4 km
Kibbeh,3.9,"Kebab, Rolls, Shawarma, Grilled Chicken, Arabian","Aundh, Pune",₹300 for two,3.4 km
Hotel Chaitanya,3.2,"North Indian, Maharashtrian, Chinese, Biryani","Hinjawadi, Pune",₹400 for two,4.9 km
Heritage Kitchen & Co,3.9,"North Indian, Chinese, Pizza, Burger, Fast Food, Continental, Tea, Beverages","Baner, Pune","₹1,200 for two",606 m
Chai Tradition Cafe,-,"Pizza, Sandwich, Pasta, Burger, Shake, Tea, Coffee, Beverages","Wakad, Pune",₹200 for two,4.7 km
The Blue Wave,New,"North Indian, Chinese","Baner, Pune","₹1,000 for two",1.5 km
Yin Yang,4.1,"Asian, Thai, Sushi, Lebanese, Seafood, North Indian, Biryani, Desserts","Wakad, Pune","₹1,200 for two",3.9 km
Brew & Bakes,3.7,"Cafe, Coffee, Beverages, Sandwich, Continental, Italian, Steak, Bakery","Pimple Saudagar, Pune",₹900 for two,4.2 km
Baker's Basket,3.4,"Bakery, Desserts, Sandwich, Fast Food","Aundh, Pune",₹450 for two,3.6 km
